id,scheme_name,state,category,eligibility,benefit_amount,benefit_type,link,explanation,application_process,documents_required,target_beneficiaries,implementing_agency,launch_year,is_active
1,"PM-KISAN","Central Government","Agriculture","All landholding farmers","₹6000/year","Direct Transfer","https://www.pmkisan.gov.in","Direct income support to farmers with ₹2000 per installment thrice a year","Online application through PM-KISAN portal or CSC","Land records, Aadhaar, Bank account details","Small and Marginal Farmers","Department of Agriculture and Cooperation",2019,true
2,"Kisan Credit Card","Central Government","Agriculture","Farmers with land records","Variable","Credit/Loan","https://www.nabard.org/kcc","Provides credit facility to farmers for agricultural and allied activities","Through banks and financial institutions","Land documents, Identity proof, Address proof","All Farmers","NABARD",1998,true
3,"Pradhan Mantri Crop Insurance Scheme","Central Government","Agriculture","All farmers growing notified crops","Premium varies","Insurance","https://www.pmfby.gov.in","Crop insurance scheme providing coverage for all stages of crop cycle","Through insurance companies and banks","Land records, Sowing certificate, Bank account","All Farmers","Ministry of Agriculture",2016,true
4,"Tamil Nadu Farmers Welfare Scheme","Tamil Nadu","Agriculture","Tamil Nadu farmers with valid land records","₹4000/year","Direct Transfer","https://tn.gov.in/scheme/data_view/33800","State-specific farmer welfare scheme providing direct cash benefit","Through District Collectors and VAOs","Land records, Aadhaar, Bank account","Tamil Nadu Farmers","Directorate of Agriculture",2021,true
5,"Assam Farmer Interest Free Loan","Assam","Agriculture","Assam farmers, BPL families","Up to ₹2 lakh","Loan","https://assam.gov.in","Interest-free loans for agricultural activities and equipment purchase","Through cooperative banks and SHGs","Income certificate, Land records, Project proposal","Small Farmers, BPL","Assam Cooperative Department",2020,true
6,"Pradhan Mantri Awas Yojana","Central Government","Housing","EWS, LIG, MIG categories","₹1.2-2.3 lakh subsidy","Subsidy","https://pmaymis.gov.in","Housing scheme providing subsidy for home purchase or construction","Online application through PMAY portal","Income certificate, Aadhaar, Property documents","EWS/LIG/MIG families","Ministry of Housing",2015,true
7,"Beti Bachao Beti Padhao","Central Government","Education","Girl children and their families","Variable","Awareness/Support","https://wcd.nic.in/bbbp-scheme","Scheme to address declining child sex ratio and promote girls education","Through district administration","Birth certificate, School enrollment","Girl Children","Ministry of Women and Child Development",2015,true
8,"Tamil Nadu Free Laptop Scheme","Tamil Nadu","Education","Class 11 students in government schools","₹45000 (laptop value)","Equipment","https://tn.gov.in/laptop","Free laptop distribution to students for digital learning","Automatic enrollment for eligible students","School enrollment certificate","Government School Students","School Education Department",2011,true
9,"Assam Pragyan Bharati Scheme","Assam","Education","Meritorious students from economically weaker sections","₹1.5 lakh/year","Scholarship","https://pragyanassamscholarship.in","Merit-cum-means scholarship for higher education","Online application through official portal","Income certificate, Mark sheets, Domicile","Meritorious Students","Assam Government",2020,true
10,"Ayushman Bharat","Central Government","Health","SECC-2011 beneficiaries, vulnerable families","₹5 lakh/family/year","Insurance","https://pmjay.gov.in","Health insurance scheme providing cashless treatment","Through empaneled hospitals","Aadhaar, SECC verification","BPL and identified families","National Health Authority",2018,true
11,"Tamil Nadu Chief Minister Comprehensive Health Insurance","Tamil Nadu","Health","BPL families, annual income up to ₹72000","₹5 lakh/family/year","Insurance","https://cmchistn.nhp.gov.in","State health insurance scheme for comprehensive medical coverage","Through government hospitals and empaneled private hospitals","Ration card, Income certificate","BPL families","Tamil Nadu Health Department",2012,true
12,"Assam Health Insurance Scheme","Assam","Health","All residents of Assam","₹2 lakh/family/year","Insurance","https://ahis.assam.gov.in","Universal health insurance for all Assam residents","Through AHIS network hospitals","Resident certificate, Identity proof","All Assam Residents","Assam Health Department",2019,true
13,"PM Mudra Yojana","Central Government","Business","Micro and small enterprises","₹10 lakh maximum","Loan","https://www.mudra.org.in","Collateral-free loans for micro enterprises and small businesses","Through banks and financial institutions","Business plan, Identity proof, Address proof","Micro Entrepreneurs","Ministry of Finance",2015,true
14,"Tamil Nadu New Entrepreneur Cum Enterprise Development Scheme","Tamil Nadu","Business","First-generation entrepreneurs","₹25 lakh subsidy","Subsidy","https://www.tansidco.com/needp","Promotes new entrepreneurs with capital subsidy and other support","Through TANSIDCO and DICs","Project report, Educational qualification","New Entrepreneurs","TANSIDCO",2017,true
15,"Assam Startup Policy","Assam","Business","Startups registered in Assam","Variable incentives","Subsidy/Support","https://industries.assam.gov.in/startup","Policy framework providing various incentives and support to startups","Through Assam Startup portal","Startup registration, Business plan","Startups and Entrepreneurs","Industries Department Assam",2018,true
