state,scheme_name,about,eligibility,link
HARYANA,                         SCHEME,                                         EXPLANATION,                           BASIC ELIGIBILITY CRITERIA,                                                     LINK
HARYANA,*Meri Fasal Mera Byora (MFMB)*,"The scheme aims to provide
affordable and reliable electricity connections to farmers for irrigation purposes
. It helps reduce their reliance on diesel pumps, lowers irrigation costs, and increases agricultural productivity.",farmers in Haryana; mandatory for accessing various state and central schemes,mfmb.haryana.gov.in
HARYANA,"*
Krishi Yantra Anudan Yojana (Farm Mechanization)*","he primary goal of this scheme is to enhance agricultural productivity and efficiency by facilitating access to advanced machinery, thereby reducing labor costs and improving crop yields.",Farmers registered on MFMB; subsidy for purchasing farm machinery,agriharyana.gov.in/MechCRMScheme
HARYANA,Crop Residue Management (CRM) Scheme,"The CRM Scheme aims to
reduce crop residue burning
by promoting sustainable and eco-friendly management of agricultural residues. This helps in controlling air pollution and improves soil health.",Farmers; subsidy for machinery to manage crop residue,agriharyana.gov.in/MechCRMScheme
HARYANA,*Haryana State Seed Development Corporation (HSDC)*,"the
Haryana State Seed Development Corporation (HSDC)
is to
produce, procure, and supply high-quality certified seeds to farmers
in Haryana to improve crop yield and ensure food security.",Farmers; subsidy for purchasing certified seeds,hsdc.haryana.gov.in
HARYANA,"*Haryana State Agricultural Marketing Board (HSAMB
)*","The main objective of the
Haryana State Agricultural Marketing Board (HSAMB)
is to
develop and manage modern agricultural markets for efficient, transparent, and regulated trading of farmers' produce.",Farmers; provides marketing support and infrastructure,hsamb.org.in
HARYANA,Haryana State Horticulture Development Agency (HSDA)*,"The primary objective of the
Haryana State Horticulture Development Agency (HSDA)
is to
promote and develop horticulture in the state
by implementing various schemes and programs aimed at enhancing the production and productivity of horticultural crops. This includes providing technical support, facilitating access to modern farming practices, and improving the overall infrastructure for horticulture development.",Horticulture farmers; subsidy for horticultural development,hortharyana.gov.in
BIHAR,                                  SCHEME,                                    EXPLANATION,                                       BASIC ELIGIBILITY CRITERIA,                                      LINK
BIHAR,Krishi Input Subsidy Scheme,"To provide financial relief to farmers for crop losses caused by natural calamitiessuch as droughts, floods, or unseasonal rainto compensate for input costs and support their economic stability.",Farmers affected by natural calamities; requires registration on the Bihar Agriculture Portal,agriculture.vikaspedia.in
BIHAR,Mukhyamantri Bagwani Mission:,"The main objective of the Mukhyamantri Bagwani Mission, as implemented in Uttar Pradesh, is to promote integrated horticultural development across the state by providing farmers with substantial subsidies (up to 50%), as well as inputs like free nursery plants, seeds, and organic fertilizer kitsthus encouraging cultivation of fruits, vegetables, spices, greenhouse farming, and allied infrastructure
.",Anjeer Vikas YojanaFarmers cultivating anjeer (fig); subsidies for up to 10 acres,myscheme.gov.in
BIHAR,*Bihar Rajya Fasal Sahayata Yojna (BRFSY)*,"The main objective of the Bihar Rajya Fasal Sahayata Yojana (BRFSY) is to provide financial assistance to farmers who suffer crop losses due to natural calamities, ensuring their economic stability and encouraging continued agricultural activities.",Farmers cultivating notified crops; provides assistance for crop loss due to natural calamities,myscheme.gov.in
BIHAR,*Bihar Agri Investment Promotion Policy (BAIPP)*,"The primary goal of BAIPP is to promote investment in agro-processing and value addition
in Bihar, focusing on sectors such as makhana, honey, fruits and vegetables, maize, seeds, medicinal plants, and tea. By offering financial incentives, the policy seeks to improve farmers' incomes , reduce post-harvest losses, and create sustainable employment in rural areas",Entrepreneurs and farmer-based companies investing in agriculture and allied sectors; capital subsidies available,horticulture.bihar.gov.in
BIHAR,Seed Spices Scheme,"The Seed Spices Scheme is an initiative by the Government of India, primarily implemented through the Spices Board of India, to enhance the production and quality of seed spices. This scheme focuses on crops like coriander, cumin, fennel, fenugreek, and dill , which are crucial for both domestic consumption and export.",Farmers cultivating seed spices; aims to promote quality seed production,khetivyapar.com
BIHAR,Mukhyamantri Krishi Vidyut Sambandh Yojana,Farmers in North Bihar; offers free electricity connections and up to 92% subsidies on tariffs,Farmers in North Bihar; offers free electricity connections and up to 92% subsidies on tariffs,timesofindia.indiatimes.com
UTTARPRADESH,                                    SCHEME,                                           EXPLANATION,                               BASIC ELIGIBILITY CRITERIA,                                                       LINK
UTTARPRADESH,Zero Budget Natural Farming (ZBNF),"To minimize dependency on external agricultural inputs (like synthetic fertilizers and pesticides) by using on-farm, natural resourcesthereby reducing costs, breaking the cycle of farmer indebtedness, improving soil health, and promoting sustainable, eco-friendly farming","Farmers willing to adopt natural, chemical-free farmingSupported by UP government and NGOs",https://www.myscheme.gov.in/schemes/zbnf
UTTARPRADESH,UP State Agriculture Department,"The primary goal of the Uttar Pradesh State Agriculture Department is to accelerate agricultural growth and enhance crop production and productivity, thereby improving the economic status and quality of life for farmers, reducing regional disparities, and generating employment opportunities",Organic Farming PromotionFarmers opting for organic agricultureSupported through subsidies and training,https://upagriculture.com
MADHYA PRADESH,                                  SCHEME,                                           EXPLANATION,                               BASIC ELIGIBILITY CRITERIA,                                                       LINK
MADHYA PRADESH,Mukhyamantri Krishak Kalyan Yojana,"The Mukhyamantri Krishak Kalyan Yojana
is a welfare initiative launched by the Government of Madhya Pradesh to provide financial assistance to farmers and their families in the event of accidents during agricultural activities. This scheme aims to alleviate the economic burden on families affected by such incidents.",Farmers in MP; provides direct financial assistance to supplement income,agriportal.mp.gov.in
MADHYA PRADESH,Mukhya Mantri Krishak Unnati Yojana,"The Mukhyamantri Krishak Unnati Yojana is a flagship agricultural welfare initiative launched by the Government of Chhattisgarh to enhance farmers' income, promote crop diversification, and support sustainable farming practices",Farmers adopting crop diversification; incentives provided,prsindia.org
