id,scheme_name,state,category,eligibility,benefit_amount,benefit_type,explanation,target_beneficiaries,implementing_agency,launch_year,link
1,"PM-KISAN (Pradhan Mantri Kisan Samman Nidhi)","Central Government","Agriculture","Small and marginal farmers with landholding up to 2 hectares",6000,"Direct Transfer","Financial assistance of ₹6000 per year in three equal installments to support farmers","Small and marginal farmers","Ministry of Agriculture & Farmers Welfare",2019,"https://pmkisan.gov.in"
2,"Ayushman Bharat - PMJAY","Central Government","Health","Families listed in SECC 2011 database and meeting deprivation criteria",500000,"Health Insurance","Free healthcare coverage up to ₹5 lakh per family per year for secondary and tertiary care","Poor and vulnerable families","National Health Authority",2018,"https://pmjay.gov.in"
3,"PMAY-G (Pradhan Mantri Awaas Yojana - Gramin)","Central Government","Housing","Homeless and families living in kutcha houses in rural areas",120000,"Construction Grant","Financial assistance for construction of pucca houses in rural areas","Rural homeless families","Ministry of Rural Development",2016,"https://pmayg.nic.in"
4,"MGNREGA (Mahatma Gandhi National Rural Employment Guarantee Act)","Central Government","Employment","Adult members of rural households willing to do unskilled manual work",,"Wage Employment","Guarantee of 100 days of wage employment in a financial year","Rural households","Ministry of Rural Development",2005,"https://nrega.nic.in"
5,"Pradhan Mantri Ujjwala Yojana","Central Government","Energy","BPL families, especially women from poor households",1600,"LPG Subsidy","Free LPG connections to BPL households with financial support","BPL women","Ministry of Petroleum and Natural Gas",2016,"https://pmuy.gov.in"
6,"Tamil Nadu Amma Canteen Scheme","Tamil Nadu","Food Security","All citizens, especially targeting urban poor and working class",5,"Subsidized Food","Subsidized meals available at ₹5 for breakfast, ₹10 for lunch/dinner","Urban poor and working class","Government of Tamil Nadu",2013,"https://tn.gov.in/amma-canteen"
7,"Free Laptop Scheme - Tamil Nadu","Tamil Nadu","Education","Students studying in government schools, first graduate in family",25000,"Equipment Grant","Free laptops provided to eligible students to support digital education","Government school students","School Education Department, Tamil Nadu",2011,"https://laptop.tn.nic.in"
8,"Chief Minister Comprehensive Health Insurance Scheme - Tamil Nadu","Tamil Nadu","Health","Families with annual income below ₹72,000",400000,"Health Insurance","Comprehensive health insurance coverage for surgeries and treatments","Low-income families","Government of Tamil Nadu",2009,"https://cmchistn.nhp.gov.in"
9,"Kalaignar Kanavu Illam Scheme","Tamil Nadu","Housing","Landless poor families in rural areas",300000,"Housing Grant","Financial assistance for construction of houses for landless poor","Landless rural families","Rural Development Department, Tamil Nadu",2018,""
10,"Chief Minister Relief Fund - Assam","Assam","Emergency Relief","Citizens affected by natural disasters, medical emergencies",,"Emergency Aid","Financial assistance during emergencies, natural disasters, and medical crises","Disaster-affected citizens","Government of Assam",1985,"https://cm.assam.gov.in/relief-fund"
11,"MMUA (Mission Mode for Urban Areas) - Assam","Assam","Urban Development","Urban poor families below poverty line",50000,"Development Grant","Financial assistance for urban development and poverty alleviation","Urban poor families","Urban Development Department, Assam",2014,""
12,"Swami Vivekananda Assam Youth Empowerment Scheme","Assam","Employment","Unemployed youth aged 18-35 years",50000,"Skill Development","Financial support and training for self-employment and entrepreneurship","Unemployed youth","Industries and Commerce Department, Assam",2017,""
13,"Orunodoi Scheme - Assam","Assam","Direct Benefit","Families with annual income below ₹2 lakh",830,"Direct Transfer","Monthly financial assistance to eligible families","Low-income families","Finance Department, Assam",2020,"https://orunodoi.assam.gov.in"
14,"Apunar Ghary Aporajan Scheme","Assam","Housing","Homeless families and those living in kutcha houses",130000,"Housing Grant","Financial assistance for construction of pucca houses","Homeless families","Public Works Department, Assam",2018,""
15,"Assam Darshan Scheme","Assam","Tourism","Students, senior citizens, and economically weaker sections",,"Travel Subsidy","Subsidized tourism packages to promote local tourism and heritage","Students and economically weaker sections","Tourism Department, Assam",2019,""
